"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214331","Doctor: doctor022 joins room 6824ccb208691a1189e8ee37","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:44 UTC 2025","","doctors.spec.ts","",""
"","233220","Patient: patient003 joins room 6824cc2f08691a1189e8edc5","","Tue May 20 05:27:12 UTC 2025","passed","Tue May 20 05:31:05 UTC 2025","","patients.spec.ts","",""
"","213275","Doctor: doctor038 joins room 6824cd1f08691a1189e8ee97","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:26 UTC 2025","","doctors.spec.ts","",""
"","85817","Patient: patient008 joins room 682311ac3eb3ec16b0bb2269","","Tue May 20 03:10:51 UTC 2025","passed","Tue May 20 03:12:17 UTC 2025","","patients.spec.ts","",""
"","112613","Doctor: doctor004 joins room 682311753eb3ec16b0bb2251","","Tue May 20 03:09:56 UTC 2025","passed","Tue May 20 03:11:49 UTC 2025","","doctors.spec.ts","",""
"","103089","Patient: patient005 joins room 682311833eb3ec16b0bb2257","","Tue May 20 03:10:51 UTC 2025","passed","Tue May 20 03:12:35 UTC 2025","","patients.spec.ts","",""
"","344703","Patient: patient019 joins room 6824cc9e08691a1189e8ee25","","Tue May 20 04:09:50 UTC 2025","passed","Tue May 20 04:15:35 UTC 2025","","patients.spec.ts","",""
"","211959","Doctor: doctor004 joins room 6824cc3608691a1189e8edcb","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:17 UTC 2025","","doctors.spec.ts","",""
"","210948","Patient: patient020 joins room 6824cca508691a1189e8ee2b","","Tue May 20 05:41:37 UTC 2025","passed","Tue May 20 05:45:08 UTC 2025","","patients.spec.ts","",""
"","211601","Doctor: doctor006 joins room 6824cc4408691a1189e8edd7","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:17 UTC 2025","","doctors.spec.ts","",""
"","216369","Doctor: doctor028 joins room 6824ccdb08691a1189e8ee5b","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:47 UTC 2025","","doctors.spec.ts","",""
"","209930","Doctor: doctor009 joins room 6824cc5908691a1189e8ede9","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:15 UTC 2025","","doctors.spec.ts","",""
"","236437","Patient: patient010 joins room 6824cc6008691a1189e8edef","","Tue May 20 05:27:12 UTC 2025","passed","Tue May 20 05:31:08 UTC 2025","","patients.spec.ts","",""
"","215946","Patient: patient028 joins room 6824ccdb08691a1189e8ee5b","","Tue May 20 05:41:37 UTC 2025","passed","Tue May 20 05:45:13 UTC 2025","","patients.spec.ts","",""
"","362020","Doctor: doctor012 joins room 6824cc6d08691a1189e8edfb","","Tue May 20 04:08:43 UTC 2025","passed","Tue May 20 04:14:45 UTC 2025","","doctors.spec.ts","",""
"","112981","Doctor: doctor009 joins room 682311ba3eb3ec16b0bb226f","","Tue May 20 03:09:56 UTC 2025","passed","Tue May 20 03:11:49 UTC 2025","","doctors.spec.ts","",""
"","207574","Doctor: doctor033 joins room 6824ccfd08691a1189e8ee79","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:20 UTC 2025","","doctors.spec.ts","",""
"","215114","Doctor: doctor020 joins room 6824cca508691a1189e8ee2b","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:45 UTC 2025","","doctors.spec.ts","",""
"","190451","Patient: patient043 joins room 6824cd4108691a1189e8eeb5","","Tue May 20 05:56:03 UTC 2025","passed","Tue May 20 05:59:14 UTC 2025","","patients.spec.ts","",""
"","113246","Doctor: doctor007 joins room 6823119e3eb3ec16b0bb2263","","Tue May 20 03:09:56 UTC 2025","passed","Tue May 20 03:11:49 UTC 2025","","doctors.spec.ts","",""
"","256751","Patient: patient032 joins room 6824ccf608691a1189e8ee73","","Tue May 20 05:48:27 UTC 2025","passed","Tue May 20 05:52:44 UTC 2025","","patients.spec.ts","",""
"","190250","Patient: patient042 joins room 6824cd3a08691a1189e8eeaf","","Tue May 20 05:56:03 UTC 2025","passed","Tue May 20 05:59:13 UTC 2025","","patients.spec.ts","",""
"","213199","Patient: patient009 joins room 6824cc5908691a1189e8ede9","","Tue May 20 05:27:12 UTC 2025","passed","Tue May 20 05:30:45 UTC 2025","","patients.spec.ts","",""
"","390171","Doctor: doctor018 joins room 6824cc9708691a1189e8ee1f","","Tue May 20 04:08:43 UTC 2025","passed","Tue May 20 04:15:13 UTC 2025","","doctors.spec.ts","",""
"","209669","Doctor: doctor003 joins room 6824cc2f08691a1189e8edc5","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:15 UTC 2025","","doctors.spec.ts","",""
"","214321","Doctor: doctor026 joins room 6824ccce08691a1189e8ee4f","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:44 UTC 2025","","doctors.spec.ts","",""
"","350686","Doctor: doctor019 joins room 6824cc9e08691a1189e8ee25","","Tue May 20 04:08:43 UTC 2025","passed","Tue May 20 04:14:33 UTC 2025","","doctors.spec.ts","",""
"","210196","Doctor: doctor010 joins room 6824cc6008691a1189e8edef","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:15 UTC 2025","","doctors.spec.ts","",""
"","256276","Patient: patient030 joins room 6824cce908691a1189e8ee67","","Tue May 20 05:48:28 UTC 2025","passed","Tue May 20 05:52:44 UTC 2025","","patients.spec.ts","",""
"","361857","Patient: patient017 joins room 6824cc9008691a1189e8ee19","","Tue May 20 04:09:50 UTC 2025","passed","Tue May 20 04:15:52 UTC 2025","","patients.spec.ts","",""
"","115058","Patient: patient009 joins room 682311ba3eb3ec16b0bb226f","","Tue May 20 03:10:51 UTC 2025","passed","Tue May 20 03:12:47 UTC 2025","","patients.spec.ts","",""
"","236425","Patient: patient002 joins room 6824cc2808691a1189e8edbf","","Tue May 20 05:27:12 UTC 2025","passed","Tue May 20 05:31:08 UTC 2025","","patients.spec.ts","",""
"","116021","Patient: patient002 joins room 6823115a3eb3ec16b0bb2245","","Tue May 20 03:10:52 UTC 2025","passed","Tue May 20 03:12:48 UTC 2025","","patients.spec.ts","",""
"","350834","Patient: patient011 joins room 6824cc6608691a1189e8edf5","","Tue May 20 04:09:50 UTC 2025","passed","Tue May 20 04:15:41 UTC 2025","","patients.spec.ts","",""
"","210282","Doctor: doctor031 joins room 6824ccef08691a1189e8ee6d","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:23 UTC 2025","","doctors.spec.ts","",""
"","241547","Patient: patient035 joins room 6824cd0b08691a1189e8ee85","","Tue May 20 05:48:27 UTC 2025","passed","Tue May 20 05:52:29 UTC 2025","","patients.spec.ts","",""
"","121368","Patient: patient007 joins room 6823119e3eb3ec16b0bb2263","","Tue May 20 03:10:52 UTC 2025","passed","Tue May 20 03:12:53 UTC 2025","","patients.spec.ts","",""
"","216485","Doctor: doctor025 joins room 6824ccc708691a1189e8ee49","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:47 UTC 2025","","doctors.spec.ts","",""
"","254132","Patient: patient039 joins room 6824cd2508691a1189e8ee9d","","Tue May 20 05:48:29 UTC 2025","passed","Tue May 20 05:52:43 UTC 2025","","patients.spec.ts","",""
"","220177","Patient: patient024 joins room 6824ccc008691a1189e8ee43","","Tue May 20 05:41:37 UTC 2025","passed","Tue May 20 05:45:17 UTC 2025","","patients.spec.ts","",""
"","98312","Patient: patient003 joins room 682311683eb3ec16b0bb224b","","Tue May 20 03:10:51 UTC 2025","passed","Tue May 20 03:12:30 UTC 2025","","patients.spec.ts","",""
"","209986","Patient: patient022 joins room 6824ccb208691a1189e8ee37","","Tue May 20 05:41:37 UTC 2025","passed","Tue May 20 05:45:07 UTC 2025","","patients.spec.ts","",""
"","210920","Doctor: doctor039 joins room 6824cd2508691a1189e8ee9d","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:24 UTC 2025","","doctors.spec.ts","",""
"","255767","Patient: patient031 joins room 6824ccef08691a1189e8ee6d","","Tue May 20 05:48:28 UTC 2025","passed","Tue May 20 05:52:44 UTC 2025","","patients.spec.ts","",""
"","210778","Doctor: doctor037 joins room 6824cd1808691a1189e8ee91","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:24 UTC 2025","","doctors.spec.ts","",""
"","268872","Patient: patient033 joins room 6824ccfd08691a1189e8ee79","","Tue May 20 05:48:28 UTC 2025","passed","Tue May 20 05:52:56 UTC 2025","","patients.spec.ts","",""
"","214533","Doctor: doctor023 joins room 6824ccb908691a1189e8ee3d","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:45 UTC 2025","","doctors.spec.ts","",""
"","209889","Doctor: doctor008 joins room 6824cc5208691a1189e8ede3","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:15 UTC 2025","","doctors.spec.ts","",""
"","395792","Doctor: doctor013 joins room 6824cc7408691a1189e8ee01","","Tue May 20 04:08:43 UTC 2025","passed","Tue May 20 04:15:19 UTC 2025","","doctors.spec.ts","",""
"","237601","Patient: patient036 joins room 6824cd1108691a1189e8ee8b","","Tue May 20 05:48:27 UTC 2025","passed","Tue May 20 05:52:25 UTC 2025","","patients.spec.ts","",""
"","258349","Patient: patient038 joins room 6824cd1f08691a1189e8ee97","","Tue May 20 05:48:28 UTC 2025","passed","Tue May 20 05:52:46 UTC 2025","","patients.spec.ts","",""
"","389821","Doctor: doctor015 joins room 6824cc8108691a1189e8ee0d","","Tue May 20 04:08:43 UTC 2025","passed","Tue May 20 04:15:12 UTC 2025","","doctors.spec.ts","",""
"","112576","Doctor: doctor005 joins room 682311833eb3ec16b0bb2257","","Tue May 20 03:09:56 UTC 2025","passed","Tue May 20 03:11:49 UTC 2025","","doctors.spec.ts","",""
"","204452","Patient: patient029 joins room 6824cce208691a1189e8ee61","","Tue May 20 05:41:37 UTC 2025","passed","Tue May 20 05:45:02 UTC 2025","","patients.spec.ts","",""
"","209405","Doctor: doctor036 joins room 6824cd1108691a1189e8ee8b","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:22 UTC 2025","","doctors.spec.ts","",""
"","119658","Patient: patient006 joins room 682311913eb3ec16b0bb225d","","Tue May 20 03:10:52 UTC 2025","passed","Tue May 20 03:12:51 UTC 2025","","patients.spec.ts","",""
"","351392","Patient: patient016 joins room 6824cc8908691a1189e8ee13","","Tue May 20 04:09:50 UTC 2025","passed","Tue May 20 04:15:41 UTC 2025","","patients.spec.ts","",""
"","396240","Doctor: doctor011 joins room 6824cc6608691a1189e8edf5","","Tue May 20 04:08:43 UTC 2025","passed","Tue May 20 04:15:19 UTC 2025","","doctors.spec.ts","",""
"","213626","Doctor: doctor035 joins room 6824cd0b08691a1189e8ee85","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:27 UTC 2025","","doctors.spec.ts","",""
"","117983","Patient: patient001 joins room 6823114c3eb3ec16b0bb223f","","Tue May 20 03:10:53 UTC 2025","passed","Tue May 20 03:12:51 UTC 2025","","patients.spec.ts","",""
"","214631","Doctor: doctor027 joins room 6824ccd408691a1189e8ee55","","Tue May 20 05:41:10 UTC 2025","passed","Tue May 20 05:44:45 UTC 2025","","doctors.spec.ts","",""
"","213140","Doctor: doctor032 joins room 6824ccf608691a1189e8ee73","","Tue May 20 05:47:53 UTC 2025","passed","Tue May 20 05:51:26 UTC 2025","","doctors.spec.ts","",""
"","211656","Doctor: doctor005 joins room 6824cc3d08691a1189e8edd1","","Tue May 20 05:26:45 UTC 2025","passed","Tue May 20 05:30:17 UTC 2025","","doctors.spec.ts","",""
"","221146","Patient: patient006 joins room 6824cc4408691a1189e8edd7","","Tue May 20 05:27:12 UTC 2025","passed","Tue May 20 05:30:53 UTC 2025","","patients.spec.ts","",""
"","362849","Patient: patient014 joins room 6824cc7b08691a1189e8ee07","","Tue May 20 04:09:50 UTC 2025","passed","Tue May 20 04:15:53 UTC 2025","","patients.spec.ts","",""
"","190496","Patient: patient041 joins room 6824cd3308691a1189e8eea9","","Tue May 20 05:56:03 UTC 2025","passed","Tue May 20 05:59:14 UTC 2025","","patients.spec.ts","",""
